ack 3.5.0-2
acpi 1.7-3
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
alacritty 0.8.0-1
alsa-utils 1.2.5.1-1
amd-ucode 20210716.b7c134f-1
arandr 0.1.10-6
arp-scan 1.9.7-1
aspell-de 20161207-3
aspell-en 2020.12.07-1
aspell-es 1.11-8
aspell-he 1.0-3
atool 0.39.0-7
atril 1.24.1-1
audacity 1:2.4.1-4
aura-bin 3.2.5-1
autoconf 2.71-1
automake 1.16.3-1
autopep8 1:1.5.7-2
bash 5.1.008-1
bashtop 0.9.25-1
bcftools 1.13-1
bdf-unifont 13.0.06-1
bedtools 2.29.2-1
beep 1.4.9-1
biber 1:2.15-2
binutils 2.36.1-3
bison 3.7.6-1
blueberry 1.4.4-1
blueman 2.2.1-1
bluez-utils 5.60-1
bpytop 1.0.67-1
brave-bin 1:1.26.77-3
brightnessctl 0.5.1-2
brillo 1.4.9-1
bspwm 0.9.10-1
bzip2 1.0.8-4
caffeine-ng 3.5.1-2
calibre 5.23.0-2
clang 12.0.1-1
cool-retro-term 1.1.1-2
coreutils 8.32-1
cppman 0.5.1-2
cryptsetup 2.3.6-1
cups 1:2.3.3op2-3
cups-pdf 3.0.1-6
deluge-gtk 2.0.4.dev56+g2e466101f-1
device-mapper 2.03.12-1
devtools 20210202-2
dhcpcd 9.4.0-1
dia 0.97.3-8
diffutils 3.7-3
discord 0.0.15-1
djview 4.12-2
djvu2pdf 0.9.2-1
dmenu 5.0-1
dnsmasq 2.85-1
docker 1:20.10.7-1
dos2unix 7.4.2-1
dunst 1.6.1-2
e2fsprogs 1.46.3-1
easy-rsa 3.0.8-2
ebtables 2.0.10_4-8
efibootmgr 17-2
elinks 0.14.1-1
emacs 27.2-1
epr-git 2.4.8.r130.81a75bd-1
epson-inkjet-printer-201301w 1.0.0-10
epson-inkjet-printer-201303w 1.0.0-10
epub2txt 2.01-2
evince 40.4-1
exfat-utils 1.3.0-2
exo 4.16.2-1
f2fs-tools 1.14.0-2
fakeroot 1.25.3-2
feh 3.7.1-1
file 5.40-5
filesystem 2021.05.31-1
findutils 4.8.0-1
firefox 90.0.2-1
firefox-i18n-de 90.0.2-1
firefox-i18n-es-es 90.0.2-1
firefox-i18n-he 90.0.2-1
fish 3.3.1-1
flameshot 0.10.1-1
flex 2.6.4-3
fortune-mod 3.6.1-1
fswebcam 20200725-1
fzf 0.27.2-1
garcon 4.16.1-1
gawk 5.1.0-1
gcc 11.1.0-1
gcc-fortran 11.1.0-1
gcc-libs 11.1.0-1
gdm 40.1-1
gettext 0.21-1
ghc 8.10.5-1
git 2.32.0-1
glibc 2.33-5
global 6.6.7-1
gnome-alsamixer 0.9.7-4
gnu-free-fonts 20120503-8
google-chrome 92.0.4515.131-1
grep 3.6-1
grub 2:2.06-1
gscan2pdf 2.12.2-1
gst-libav 1.18.4-1
gvfs-smb 1.48.1-1
gvim 8.2.2891-1
gzip 1.10-3
haskell-implicit-hie 0.1.2.5-80
haskell-language-server-bin 1.2.0-1
haskell-monad-par 0.3.5-111
heimdall 1.4.2-6
hexchat 2.14.3-9
highlight 4.1-1
hoogle 5.0.18.1-120
hp15c 4.3.00-1
htop 3.0.5-1
hunspell-de 20161207-6
hunspell-es_es 1:2.6-1
hunspell-he 1.4-3
hwinfo 21.75-1
i3-gaps 4.19.1-1
i3blocks 1.5-3
i3lock 2.13-1
i3status 2.13-3
ib-tws 985.1h-2
imagemagick-doc 7.1.0.4-1
inetutils 2.1-1
inkscape 1.1-5
iproute2 5.13.0-1
iputils 20210722-1
jdk-openjdk 16.0.2.u7-1
jdk8-openjdk 8.u292-1
jedi-language-server 0.34.1-1
jflap 7.1-1
jfsutils 1.1.15-7
julia 2:1.6.2-1
jupyter-notebook 6.3.0-1
jupyterlab 3.1.1-1
kakoune 2020.09.01-1
kate 21.04.3-1
kcalc 21.04.3-1
kchmviewer 8.0-2
kitty 0.22.2-1
konsole 21.04.3-1
ktikz 0.13.1-1
lemonade-git v1.1.1.r14.gddbd6c1-6
less 1:590-1
libmicrodns 0.2.0-1
libreoffice-fresh 7.1.5-2
libreoffice-fresh-de 7.1.5-1
libreoffice-fresh-he 7.1.5-1
libvirt 1:7.5.0-1
licenses 20200427-1
lightdm 1:1.30.0-4
links 2.23-1
linux 5.13.7.arch1-1
linux-hardened 5.12.19.hardened1-1
linux-lts 5.10.55-1
linux-zen 5.13.7.zen1-1
llpp 33-2
logrotate 3.18.1-1
lshw B.02.19.2-1
luarocks 3.7.0-1
luit 20201003-1
lux 1.2-1
lvm2 2.03.12-1
lxdm 0.5.3-7
lxqt-policykit 0.17.0-1
lynx 2.8.9-3
m4 1.4.19-1
make 4.3-3
man-db 2.9.4-2
man-pages 5.12-2
mdadm 4.1-2
mediainfo 21.03-1
mesa-demos 8.4.0-4
minted 2.5-3
mlocate 0.26.git.20170220-7
mlterm 3.9.0-1
moreutils 0.65-2
most 5.1.0-2
mousepad 0.5.6-1
mplayer 38157-4
mpv 1:0.33.1-2
mtpaint 3.50.05-1
mupdf-gl 1.18.0-2
mupdf-tools 1.18.0-2
nano 5.8-1
ncurses5-compat-libs 6.2-1
neofetch 7.1.0-2
neomutt 20210205-1
neovim 0.5.0-1
netctl 1.25-1
network-manager-applet 1.22.0-1
networkmanager 1.32.6-1
networkmanager-openconnect 1.2.7dev+65+gca4187c-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nmap 7.91-1
nnn 4.2-1
npm 7.20.3-1
nss-mdns 0.15.1-1
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
octave 6.3.0-1
odt2txt 0.5-4
okular 21.04.3-2
openbsd-netcat 1.217_2-1
opencl-mesa 21.1.6-1
openconnect 1:8.10-1
openmp 12.0.1-1
openssh 8.6p1-1
openvpn 2.5.3-1
openvpn-update-resolv-conf-git r42.43093c2-2
openvpn-update-systemd-resolved 1.3.0-4
orage 4.12.1-5
p7zip 1:17.04-1
pacman 6.0.0-5
pacman-contrib 1.4.0-4
pamixer 1.4-6
pandoc 2.14.0.2-2
pandoc-citeproc 0.17.0.2-232
parole 4.16.0-1
pasystray 0.7.1-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pdfarranger 1.7.1-1
perl 5.34.0-2
perl-image-exiftool 12.26-2
picom 8.2-1
pinta 1.7-3
pkgconf 1.7.3-1
plan9port 20210527-1
plantuml 1.2021.8-1
plasma-meta 5.22-1
plasma-wayland-session 5.22.4-2
pm-utils 1.4.1-8
polybar 3.5.6-1
ponymix 5-3
poppler-glib 21.08.0-1
powertop 2.14-1
pqiv 2.12-3
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
pulseaudio-equalizer 15.0-1
pulseaudio-jack 15.0-1
pulseaudio-zeroconf 15.0-1
pulsemixer 1.5.1-2
python-argh 0.26.2-8
python-black 21.7b0-1
python-matplotlib 3.4.2-3
python-numpy 1.20.3-1
python-pandas 1.3.1-1
python-pipenv 2021.5.29-1
python-pybtex 0.24.0-1
python-pycodestyle 2.7.0-2
python-pylint 2.8.1-1
python-pylint-venv 2.1.1-1
python-pynvim 0.4.3-1
python-scikit-learn 0.24.2-1
python-scipy 1.7.1-1
python-tqdm 4.62.0-1
qbittorrent 4.3.6-1
qbittorrent-nox 4.3.6-1
qemu 6.0.0-3
qpdf 10.3.2-1
qpdfview 0.4.18-2
qtikz 0.13.1-1
qutebrowser 2.3.1-1
r 4.1.0-1
radian 0.5.11-1
ranger 1.9.3-3
reflector 2021.7.8-1
reiserfsprogs 3.6.27-3
ristretto 0.11.0-1
rofi 1.6.1-1
rstudio-desktop-bin 1.4.1717-1
rsync 3.2.3-4
rtorrent 0.9.8-2
rtv 1.27.0-3
rxvt-unicode 9.26-2
s-nail 14.9.22-1
sc-im 0.8.2-1
screengrab 2.2.0-1
screenkey 1.4-2
sdl2_mixer 2.0.4-6
sed 4.8-1
